Song,Artist
Feathered Indians,Tyler Childers
Ophelia,The Lumineers
Sedona,Houndmouth
Ends of the Earth,Lord Huron
Georgia,Vance Joy
Slow Burn,Kacey Musgraves
Beyond,Leon Bridges
Let It Happen,Tame Impala
Budapest,George Ezra
Mountain Sound,Of Monsters and Men
Cherry Wine,Hozier
Silver Lining,Mt. Joy
Ribs,Lorde
Creep,Radiohead
Lost in My Mind,The Head and the Heart
Sweater Weather,The Neighbourhood
Cleopatra,The Lumineers
Motion Sickness,Phoebe Bridgers
Golden Hour,JVKE
Dog Days Are Over,Florence + The Machine
